_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
7633030,20125,BP-33161,54,The Esplanade,The Esplanade,North,Scott St,East,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,314940.674,4834106.603999999,-79.374298032,43.64683277100001,"{u'type': u'Point', u'coordinates': (-79.3742980301, 43.6468327705)}"
7633031,20126,BP-33180,21,Victoria St,King St E,North,Victoria St,East,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,314746.76300000004,4834402.576,-79.37669626600001,43.64949953399999,"{u'type': u'Point', u'coordinates': (-79.3766962607, 43.6494995341)}"
7633032,20127,BP-33186,27,Front St E,Scott St,East,Front St E,North,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,314822.644,4834200.225,-79.375759374,43.64767708,"{u'type': u'Point', u'coordinates': (-79.3757593684, 43.6476770849)}"
7633033,20128,BP-33193,91,Front St E,Front St E,South,Market St,East,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,315132.24600000004,4834362.416,-79.371918445,43.649132783,"{u'type': u'Point', u'coordinates': (-79.3719184511, 43.6491327861)}"
7633034,20129,BP-33195,115,King St W,King St W,South,York St,East,,10.0,Financial District,Ring,Existing,0,314247.131,4834236.284,-79.38289278,43.648009193,"{u'type': u'Point', u'coordinates': (-79.3828927782, 43.6480091953)}"
7633035,20130,BP-33219,50,Wellington St E,Wellington St E,North,Church St,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,314921.343,4834296.255,-79.374534095,43.648540146,"{u'type': u'Point', u'coordinates': (-79.3745340999, 43.6485401476)}"
7633036,20131,BP-33221,25,The Esplanade,The Esplanade,South,Scott St,West,,10.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,314836.538,4834027.331,-79.375590353,43.646120621,"{u'type': u'Point', u'coordinates': (-79.3755903509, 43.6461206189)}"
7633037,20132,BP-33255,83,Front St E,Front St E,South,Market St,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,315090.792,4834336.078,-79.372432824,43.64889628,"{u'type': u'Point', u'coordinates': (-79.3724328275, 43.6488962834)}"
7633038,20133,BP-33256,54,Wellington St E,Wellington St E,North,Church St,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,314925.731,4834297.768999999,-79.374479675,43.648553713999995,"{u'type': u'Point', u'coordinates': (-79.3744796772, 43.648553716)}"
7633039,20134,BP-35339,239,College St,Huron St,West,College St,South,,11.0,,Ring,Existing,0,313012.98699999996,4835350.05,-79.398174344,43.658049235,"{u'type': u'Point', u'coordinates': (-79.3981743409, 43.6580492333)}"
7633040,20135,BP-35346,110,St George St,St George St,West,Hoskin Ave,South,,11.0,,Ring,Existing,0,313006.588,4835930.953,-79.398244846,43.663278202,"{u'type': u'Point', u'coordinates': (-79.3982448459, 43.663278204)}"
7633041,20137,BP-35367,170,College St,College St,North,Mc Caul St,East,,11.0,,Ring,Existing,0,313421.932,4835497.218,-79.39310185,43.659369311000006,"{u'type': u'Point', u'coordinates': (-79.393101847, 43.6593693127)}"
7633042,20140,BP-35393,431,Donlands Ave,O'Connor Dr,South,Donlands Ave,East,,14.0,,Ring,Existing,0,317469.555,4839438.206,-79.342825394,43.694785328,"{u'type': u'Point', u'coordinates': (-79.3428253923, 43.694785326)}"
7633043,20141,BP-35395,14,Mc Caul St,Mc Caul St,West,Renfrew Pl,North,,10.0,,Ring,Existing,0,313672.413,4834529.932,-79.390012178,43.650659496,"{u'type': u'Point', u'coordinates': (-79.3900121816, 43.6506594988)}"
7633044,20142,BP-35405,14,Mc Caul St,Mc Caul St,West,Renfrew Pl,North,,10.0,,Ring,Existing,0,313668.234,4834544.657,-79.39006374600001,43.650792093999996,"{u'type': u'Point', u'coordinates': (-79.3900637452, 43.6507920934)}"
7633045,20143,BP-35413,283,Adelaide St W,Adelaide St W,South,John St,East,,10.0,Toronto Entertainment District,Ring,Existing,0,313696.489,4834223.187,-79.389718774,43.647898088000005,"{u'type': u'Point', u'coordinates': (-79.3897187734, 43.6478980933)}"
7633046,20144,BP-29519,137,George St,George St,East,Richmond St E,North,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,315157.881,4834804.248,-79.371592202,43.65310950600001,"{u'type': u'Point', u'coordinates': (-79.3715922, 43.6531095086)}"
7633047,20145,BP-29520,287,Richmond St E,Richmond St E,South,Stonecutters Lane,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,315298.085,4834808.294,-79.36985400100001,43.653143956,"{u'type': u'Point', u'coordinates': (-79.3698540012, 43.6531439623)}"
7633048,20146,BP-29526,231,Richmond St E,Richmond St E,South,George St,East,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,315213.585,4834781.438,-79.370902075,43.652903409,"{u'type': u'Point', u'coordinates': (-79.3709020729, 43.6529034103)}"
7633049,20147,BP-29539,237,Queen St E,Queen St E,South,Sherbourne St,East,,13.0,,Ring,Existing,0,315349.642,4834959.881,-79.36921187899999,43.654507713,"{u'type': u'Point', u'coordinates': (-79.3692118834, 43.6545077179)}"
7633050,20148,BP-29570,1652,Yonge St,Yonge St,West,Lonsdale Rd,East,,12.0,,Ring,Existing,0,313233.113,4839112.734,-79.395386378,43.691915838999996,"{u'type': u'Point', u'coordinates': (-79.3953863752, 43.6919158451)}"
